100 Manufacturers Rd,17-Apr,318
100 Manufacturers Rd,17-Feb,63
100 Manufacturers Rd,17-Jan,90
100 Manufacturers Rd,17-Mar,210
100 Manufacturers Rd,17-May,218
100 Manufacturers Rd,27-Mar,3
100 Walnut St,17-Apr,647
100 Walnut St,17-Feb,311
100 Walnut St,17-Jan,235
100 Walnut St,17-Jun,2
100 Walnut St,17-Mar,575
100 Walnut St,17-May,626
100 Walnut St,31-Jul,2
1216 Broad St,17-Apr,68
1216 Broad St,17-Feb,70
1216 Broad St,17-Jan,35
1216 Broad St,17-Mar,141
1216 Broad St,17-May,147
1826 Carter St,17-Apr,41
1826 Carter St,17-Feb,21
1826 Carter St,17-Jan,12
1826 Carter St,17-Mar,48
1826 Carter St,17-May,66
200 River St,17-Apr,886
200 River St,17-Feb,402
200 River St,17-Jan,245
200 River St,17-Jun,2
200 River St,17-Mar,786
200 River St,17-May,698
200 River St,28-Sep,2
215 Broad St,17-Apr,406
215 Broad St,17-Feb,166
215 Broad St,17-Jan,126
215 Broad St,17-Mar,291
215 Broad St,17-May,306
301 Manufacturers Rd,17-Apr,22
301 Manufacturers Rd,17-Feb,30
301 Manufacturers Rd,17-Jan,9
301 Manufacturers Rd,17-Mar,38
301 Manufacturers Rd,17-May,40
500 Georgia Ave,17-Apr,65
500 Georgia Ave,17-Feb,22
500 Georgia Ave,17-Jan,11
500 Georgia Ave,17-Mar,22
500 Georgia Ave,17-May,31
800 E 8th St,17-Apr,24
800 E 8th St,17-Feb,19
800 E 8th St,17-Jan,5
800 E 8th St,17-Mar,17
800 E 8th St,17-May,29
Broad St & W 10th St,17-Apr,135
Broad St & W 10th St,17-Feb,39
Broad St & W 10th St,17-Jan,43
Broad St & W 10th St,17-Mar,112
Broad St & W 10th St,17-May,83
Broad St & W 4th St,17-Apr,355
Broad St & W 4th St,17-Feb,114
Broad St & W 4th St,17-Jan,69
Broad St & W 4th St,17-Mar,289
Broad St & W 4th St,17-May,213
Broad St & W 6th St,17-Apr,112
Broad St & W 6th St,17-Feb,37
Broad St & W 6th St,17-Jan,45
Broad St & W 6th St,17-Mar,80
Broad St & W 6th St,17-May,110
Broad St & W 8th St,17-Apr,232
Broad St & W 8th St,17-Feb,86
Broad St & W 8th St,17-Jan,48
Broad St & W 8th St,17-Mar,145
Broad St & W 8th St,17-May,144
Carter St & W 12th St,17-Apr,245
Carter St & W 12th St,17-Feb,69
Carter St & W 12th St,17-Jan,44
Carter St & W 12th St,17-Mar,184
Carter St & W 12th St,17-May,86
Chestnut St & Riverfront Pkwy,17-Apr,495
Chestnut St & Riverfront Pkwy,17-Feb,141
Chestnut St & Riverfront Pkwy,17-Jan,122
Chestnut St & Riverfront Pkwy,17-Mar,274
Chestnut St & Riverfront Pkwy,17-May,262
E 5th St & Collins St,17-Apr,7
E 5th St & Collins St,17-Feb,10
E 5th St & Collins St,17-Jan,2
E 5th St & Collins St,17-Mar,6
E 5th St & Collins St,17-May,16
E Main St & Rossville Ave,17-Apr,106
E Main St & Rossville Ave,17-Feb,78
E Main St & Rossville Ave,17-Jan,66
E Main St & Rossville Ave,17-Jun,1
E Main St & Rossville Ave,17-Mar,101
E Main St & Rossville Ave,17-May,129
High St & E 2nd St,17-Apr,267
High St & E 2nd St,17-Feb,122
High St & E 2nd St,17-Jan,87
High St & E 2nd St,17-Mar,232
High St & E 2nd St,17-May,313
High St & E 2nd St,20-Jan,2
Market St & Cowart St,17-Apr,115
Market St & Cowart St,17-Feb,75
Market St & Cowart St,17-Jan,53
Market St & Cowart St,17-Mar,74
Market St & Cowart St,17-May,119
Market St & E 14th St,17-Apr,262
Market St & E 14th St,17-Feb,75
Market St & E 14th St,17-Jan,66
Market St & E 14th St,17-Jun,1
Market St & E 14th St,17-Mar,160
Market St & E 14th St,17-May,221
Market St & W 12th St,17-Apr,59
Market St & W 12th St,17-Feb,43
Market St & W 12th St,17-Jan,41
Market St & W 12th St,17-Mar,88
Market St & W 12th St,17-May,81
McCallie Ave & Lindsay St,17-Apr,24
McCallie Ave & Lindsay St,17-Feb,14
McCallie Ave & Lindsay St,17-Jan,9
McCallie Ave & Lindsay St,17-Mar,29
McCallie Ave & Lindsay St,17-May,26
Oak St & Houston St,17-Apr,19
Oak St & Houston St,17-Feb,12
Oak St & Houston St,17-Jan,13
Oak St & Houston St,17-Mar,17
Oak St & Houston St,17-May,26
Oak St & University Greenway,17-Apr,34
Oak St & University Greenway,17-Feb,28
Oak St & University Greenway,17-Jan,17
Oak St & University Greenway,17-Mar,35
Oak St & University Greenway,17-May,21
Power Alley & Riverfront Pkwy,17-Apr,619
Power Alley & Riverfront Pkwy,17-Feb,154
Power Alley & Riverfront Pkwy,17-Jan,98
Power Alley & Riverfront Pkwy,17-Mar,327
Power Alley & Riverfront Pkwy,17-May,392
Power Alley & Riverfront Pkwy,29-Apr,2
W Main St & Cowart St,17-Apr,131
W Main St & Cowart St,17-Feb,50
W Main St & Cowart St,17-Jan,42
W Main St & Cowart St,17-Mar,67
W Main St & Cowart St,17-May,82
